pb_company,comp_company,gvkey,tic,match_score,deal_date,deal_year,deal_size,deal_type2,pb_industry_code,pb_investors,pb_industry_sector,pb_industry_group
Airborne,AIRBORNE INC,1213,ABF,100.0,30-Mar-2012,2012,150.00,,Specialty Retail,Schiff Nutrition International,Consumer Products and Services (B2C),Retail
Alsco (Building Products),ECO BUILDING PRODUCTS INC,183901,ECOB,86.95652173913044,05-Oct-2005,2005,150.00,,Building Products,Aleris (John Wasz),Business Products and Services (B2B),Commercial Products
Continental Life Insurance,CHINA LIFE INSURANCE COMPANY,259503,CILJF,82.6086956521739,01-May-2006,2006,150.00,,Life and Health Insurance,Genworth Financial (NYS: GNW) (George Zippel),Financial Services,Insurance
EKR Therapeutics,NEKTAR THERAPEUTICS,30137,NKTR,89.65517241379311,27-Jun-2012,2012,150.00,,Pharmaceuticals,Chiesi USA (Craig Collard),Healthcare,Pharmaceuticals and Biotechnology
Exacq Technologies,EDAC TECHNOLOGIES CORP,13630,EDAC,91.42857142857143,19-Jun-2013,2013,150.00,,Network Management Software,Tyco International,Information Technology,Software
Fortune,FORTUNET INC,165464,FNET,93.33333333333333,21-Dec-2018,2018,150.00,Corporate Divestiture,Publishing,Chatchaval Jiaravanon (Chatchaval Jiaravanon),Consumer Products and Services (B2C),Media
Gaymar Industries,ABM INDUSTRIES INC,1410,ABM,83.87096774193549,01-Oct-2010,2010,150.00,,Medical Supplies,Stryker (NYS: SYK) (Stephen Macmillan),Healthcare,Healthcare Devices and Supplies
Kontera,KINTERA INC,156615,KNTA,85.71428571428572,11-Jun-2014,2014,150.00,,Application Software,Amobee (Mark Strecker),Information Technology,Software
Martex Drilling,MARINE DRILLING CO INC,16932,MRL.2,86.66666666666667,23-Jan-2006,2006,150.00,,Other Chemicals and Gases,Nomac Drilling,Materials and Resources,Chemicals and Gases
Peer Medical,PACE MEDICAL INC,13593,PMDL,83.33333333333334,03-Feb-2013,2013,150.00,,Other Healthcare Technology Systems,EndoChoice (Mark Gilreath),Healthcare,Healthcare Technology Systems
Prairie Technologies,ORASURE TECHNOLOGIES INC,12915,OSUR,85.0,13-Sep-2013,2013,150.00,,Diagnostic Equipment,Bruker (NAS: BRKR),Healthcare,Healthcare Devices and Supplies
PRO platform,RIOT PLATFORMS INC,148170,RIOT,84.61538461538461,03-Mar-2008,2008,150.00,,Media and Information Services (B2B),Kantar TNS (David Lowden),Business Products and Services (B2B),Commercial Services
