pb_company,comp_company,gvkey,tic,match_score,deal_date,deal_year,deal_size,deal_type2,pb_industry_code,pb_investors,pb_industry_sector,pb_industry_group
Veloxis Pharmaceuticals,RVL PHARMACEUTICALS PLC,34160,RVLPQ,85.71428571428572,23-Mar-2020,2020,"1,363.84",,Drug Discovery,Asahi Kasei (TKS: 3407),Healthcare,Pharmaceuticals and Biotechnology
Saba Software,SABA SOFTWARE INC,133888,SABA.1,100.0,22-Apr-2020,2020,"1,361.89",,Business/Productivity Software,Cornerstone OnDemand (Adam Miller),Information Technology,Software
Cuno,CUNO INC,63559,CUNO,100.0,01-Aug-2005,2005,"1,360.00",,Other Commercial Products,3M (NYS: MMM),Business Products and Services (B2B),Commercial Products
Qlogic,QLOGIC CORP,29791,QLGC,100.0,16-Aug-2016,2016,"1,360.00",,Fiberoptic Equipment,Cavium (Syed Ali),Information Technology,Communications and Networking
FairPoint Communications,FAIRPOINT COMMUNICATIONS INC,148217,FRP,100.0,03-Jul-2017,2017,"1,350.31",,Telecommunications Service Providers,Consolidated Communications (Robert Udell),Information Technology,Communications and Networking
Emisphere Technologies,EMISPHERE TECHNOLOGIES INC,15446,EMIS.1,100.0,08-Dec-2020,2020,"1,350.00",,Drug Delivery,Novo Nordisk (CSE: NOVO B) (Mads Thomsen),Healthcare,Pharmaceuticals and Biotechnology
Karlin Technology,ALIGN TECHNOLOGY INC,141384,ALGN,90.9090909090909,18-May-2005,2005,"1,350.00",,Other Healthcare Technology Systems,Medtronic (NYS: MDT),Healthcare,Healthcare Technology Systems
TerreStar,TERRESTAR CORP,29397,TSTRQ,100.0,09-Mar-2012,2012,"1,345.00",,Wireless Communications Equipment,Dish Network (Thomas Cullen),,
Affymetrix,AFFYMETRIX INC,62990,AFFX,100.0,31-Mar-2016,2016,"1,341.80",,Diagnostic Equipment,Thermo Fisher Scientific (NYS: TMO) (Marc Casper),Healthcare,Healthcare Devices and Supplies
Midland Company,MIDLAND CO,7369,MLAN.1,82.35294117647058,03-Apr-2008,2008,"1,340.51",,Property and Casualty Insurance,Münchener Rückversicherungs-Gesellschaft (ETR: MUV2),Financial Services,Insurance
Digital Insight,DIGITAL INSIGHT CORP,124435,DGIN.,100.0,06-Feb-2007,2007,"1,340.00",,Business/Productivity Software,Intuit (NAS: INTU),Information Technology,Software
Paxar,PAXAR CORP,8293,PXR.1,100.0,15-Jun-2007,2007,"1,340.00",,Printing Services (B2B),Avery Dennison (NYS: AVY) (Dean Scarborough),Business Products and Services (B2B),Commercial Services
Commercial Federal,COMMERCIAL FEDERAL CORP,16227,CFB.2,100.0,05-Dec-2005,2005,"1,339.20",,Regional Banks,Bank of the West (Don McGrath),Financial Services,Commercial Banks
Biomet,BIOMET INC,2230,5938B,100.0,24-Jun-2015,2015,"1,335.00",,Surgical Devices,Zimmer Biomet (NYS: ZBH) (David Dvorak),Healthcare,Healthcare Devices and Supplies
Cadence Pharmaceuticals,CADENCE PHARMACEUTICALS INC,175483,CADX,100.0,19-Mar-2014,2014,"1,329.20",,Pharmaceuticals,Mallinckrodt Pharmaceuticals (Mark Trudeau),Healthcare,Pharmaceuticals and Biotechnology
Santander Bank,SANTANDER BANCORP,112618,SBP.1,83.87096774193549,20-Oct-2008,2008,"1,302.00",,National Banks,Banco Santander (MAD: SAN),Financial Services,Commercial Banks
Advanced Neuromodulation Systems,ADV NEUROMODULATION SYS INC,8872,ANSI,83.63636363636364,16-Oct-2005,2005,"1,300.00",,Surgical Devices,St. Jude Medical (Daniel Starks),Healthcare,Healthcare Devices and Supplies
American Retirement Corporation,AMERICAN RETIREMENT CORP,64839,ACR.1,82.6086956521739,25-Jul-2006,2006,"1,300.00",,Elder and Disabled Care,Brookdale Senior Living (NYS: BKD) (Mark Schulte),Healthcare,Healthcare Services
Arbitron,ARBITRON INC,142748,ARB.1,100.0,30-Sep-2013,2013,"1,300.00",,Media and Information Services (B2B),The Nielsen Company (David Calhoun),Business Products and Services (B2B),Commercial Services
Banta,BANTA CORP,2034,BN.2,100.0,09-Jan-2007,2007,"1,300.00",,Media and Information Services (B2B),R.R. Donnelley & Sons,Business Products and Services (B2B),Commercial Services
Calgon Carbon,CALGON CARBON CORP,13406,CCC.1,100.0,09-Mar-2018,2018,"1,300.00",,Industrial Chemicals,Kuraray (TKS: 3405) (Masaaki Ito),Materials and Resources,Chemicals and Gases
Fundtech,FUNDTECH LTD,66696,FNDT,100.0,30-Apr-2015,2015,"1,300.00",,Financial Software,DH (Other Financial Services),Information Technology,Software
IBM Internet Security Systems,INTERNET SECURITY SYSTEMS,106900,ISSX,92.5925925925926,20-Oct-2006,2006,"1,300.00",,Network Management Software,International Business Machines (NYS: IBM),Information Technology,Software
Intermagnetics,INERGETICS INC,7660,NRTI,83.33333333333334,09-Nov-2006,2006,"1,300.00",,Industrial Supplies and Parts,Philips (AMS: PHIA),Business Products and Services (B2B),Commercial Products
InvenSense,INVENSENSE INC,185180,INVN.2,100.0,18-May-2017,2017,"1,300.00",,General Purpose Semiconductors,TDK (TKS: 6762) (Shigenao Ishiguro),Information Technology,Semiconductors
Kenexa,KENEXA CORP,163771,KNXA,100.0,03-Dec-2012,2012,"1,300.00",,Education and Training Services (B2B),International Business Machines (NYS: IBM),Business Products and Services (B2B),Commercial Services
Millennium Chemicals,MILLENNIUM CHEMICALS INC,63637,LYO1,100.0,02-Mar-2007,2007,"1,300.00",Corporate Divestiture,Industrial Chemicals,The National Titanium Dioxide Company (Talal Al-Shair),Materials and Resources,Chemicals and Gases
National Starch,NATIONAL RESEARCH CORP,65587,NRC,87.5,01-Oct-2010,2010,"1,300.00",Corporate Divestiture,Multi-line Chemicals,Ingredion (NYS: INGR) (Ilene Gordon),Materials and Resources,Chemicals and Gases
Pathmark Stores,PATHMARK STORES INC,29846,PTMK,100.0,03-Dec-2007,2007,"1,300.00",,General Merchandise Stores,The Great Atlantic & Pacific Tea Company (Christian Haub),Consumer Products and Services (B2C),Retail
PSS World Medical,PSS WORLD MEDICAL INC,30161,PSSI,100.0,22-Feb-2013,2013,"1,300.00",,Distributors (Healthcare),McKesson (NYS: MCK),Healthcare,Healthcare Services
Rehabcare Group,REHABCARE GROUP INC,24219,RHB,100.0,01-Jun-2011,2011,"1,300.00",,Clinics/Outpatient Services,Kindred Healthcare,Healthcare,Healthcare Services
SHFL Entertainment,SHFL ENTERTAINMENT INC,25980,SHFL,100.0,25-Nov-2013,2013,"1,300.00",,Other Commercial Products,Bally Technologies (Ramesh Srinivasan),Business Products and Services (B2B),Commercial Products
UbiquiTel,UBIQUITEL INC,136267,UPCS,100.0,01-Jul-2006,2006,"1,300.00",,Telecommunications Service Providers,Sprint,Information Technology,Communications and Networking
Nutrisystem,NUTRISYSTEM INC,31227,NTRI,100.0,08-Mar-2019,2019,"1,286.00",,Food Products,Tivity Health (Donato Tramuto),Consumer Products and Services (B2C),Consumer Non-Durables
AGA Medical,AGA MEDICAL HOLDINGS INC,180279,AGAM,100.0,18-Nov-2010,2010,"1,270.00",,Therapeutic Devices,St. Jude Medical (Daniel Starks),Healthcare,Healthcare Devices and Supplies
Diamond Foods,DIAMOND FOODS INC,163627,DMND,100.0,29-Feb-2016,2016,"1,270.00",Public to Private,Food Products,Snyder's-Lance (Carl Lee),Consumer Products and Services (B2C),Consumer Non-Durables
Ardea Biosciences,ARDEA BIOSCIENCES INC,133328,RDEA,100.0,19-Jun-2012,2012,"1,268.00",,Drug Discovery,AstraZeneca (LON: AZN),Healthcare,Pharmaceuticals and Biotechnology
ADC Telecommunications,ADC TELECOMMUNICATIONS INC,1013,ADCT.1,100.0,12-Jul-2010,2010,"1,263.00",,Other Communications and Networking,TE Connectivity (NYS: TEL) (Thomas Lynch),Information Technology,Communications and Networking
GCA Services Group,AHL SERVICES INC,64528,AHLS,83.33333333333334,01-Sep-2017,2017,"1,258.80",,Environmental Services (B2B),ABM Industries (NYS: ABM) (Scott Salmirs),Business Products and Services (B2B),Commercial Services
Palmetto Bancshares,PALMETTO BANCSHARES INC,128581,PLMT,100.0,01-Sep-2015,2015,"1,258.13",,Regional Banks,United Community Bank (NYS: UCB) (Jimmy Tallent),Financial Services,Commercial Banks
Asco Power Technologies,OCEAN POWER TECHNOLOGIES INC,260737,OPTT,85.1063829787234,31-Oct-2017,2017,"1,258.00",Corporate Divestiture,Electrical Equipment,Schneider Electric (Electrical Equipment) (PAR: SU) (Jean-Pascal Tricoire),Business Products and Services (B2B),Commercial Products
Afferent Pharmaceuticals,AERIE PHARMACEUTICALS INC,18749,AERI,88.88888888888889,21-Jul-2016,2016,"1,250.00",,Drug Discovery,Merck (ETR: MRK),Healthcare,Pharmaceuticals and Biotechnology
IM Flash Technologies,CASH TECHNOLOGIES INC,112402,CTQN,84.21052631578947,31-Oct-2019,2019,"1,250.00",,"Computers, Parts and Peripherals",Micron Technology(Computer Hardware) (NAS: MU) (Steven Appleton),Information Technology,Computer Hardware
SonicWall,SONICWALL INC,126322,SNWL,100.0,09-May-2012,2012,"1,250.00",,Other Hardware,Dell Technologies (NYS: DELL) (John Swainson),Information Technology,Computer Hardware
Vixen Pharmaceuticals,VION PHARMACEUTICALS INC,61167,3VIONQ,92.6829268292683,02-Jan-2015,2015,"1,250.00",,Other Pharmaceuticals and Biotechnology,Fiser,Healthcare,Pharmaceuticals and Biotechnology
Hollywood Entertainment,HOLLYWOOD ENTERTAINMENT CORP,28600,HLYW,100.0,27-Apr-2005,2005,"1,246.80",,"Movies, Music and Entertainment",Movie Gallery,Consumer Products and Services (B2C),Media
DS Services of America,AG SERVICES OF AMERICA,24375,ASV.2,86.36363636363636,12-Dec-2014,2014,"1,246.00",,Beverages,Primo Brands (NYS: PRMB) (Jeremy Fowden),Consumer Products and Services (B2C),Consumer Non-Durables
inContact,INCONTACT INC,66268,SAAS,100.0,14-Nov-2016,2016,"1,240.67",,Systems and Information Management,NICE (Ra'anana) (TAE: NICE) (Barak Eilam),Information Technology,IT Services
Kanbay,KANBAY INTERNATIONAL INC,264390,KBAY,100.0,08-Feb-2007,2007,"1,236.20",,IT Consulting and Outsourcing,Capgemini (PAR: CAP),Information Technology,IT Services
Dynamic Offshore Resources,AMERICAN RESOURCES OFFSHORE,28939,3GASS,86.79245283018868,17-Apr-2012,2012,"1,235.00",,Energy Exploration,SandRidge Energy (NYS: SD),Energy,"Exploration, Production and Refining"
Eclipsys,ECLIPSYS CORP,113270,ECLP.,100.0,24-Aug-2010,2010,"1,231.28",,Enterprise Systems (Healthcare),Veradigm (PINX: MDRX) (Glen Tullman),Healthcare,Healthcare Technology Systems
DTE Gas & Oil,EPL OIL & GAS INC,140905,EPL,84.61538461538461,29-Jun-2007,2007,"1,225.00",Corporate Divestiture,Other Energy,Atlas Energy Resources (Edward Cohen),Energy,Other Energy
Norcross Safety Products,NORCROSS SAFETY PRODUCTS,160718,HON2,100.0,16-May-2008,2008,"1,221.00",,Other Commercial Products,Honeywell (NAS: HON),Business Products and Services (B2B),Commercial Products
GXS,GXS CORP,162910,0721B,100.0,16-Jan-2014,2014,"1,218.00",,Business/Productivity Software,OpenText (TSE: OTEX) (Mark Barrenechea),Information Technology,Software
Metals USA,METALS USA INC,65074,MUSA.1,100.0,15-Apr-2013,2013,"1,217.38",,Distributors/Wholesale,Reliance (Scottsdale) (NYS: RS) (David Hannah),Business Products and Services (B2B),Commercial Products
Aearo Technologies,ARLO TECHNOLOGIES INC,33766,ARLO,91.42857142857143,01-Apr-2008,2008,"1,207.00",,Other Commercial Products,3M (NYS: MMM) (George Buckley),Business Products and Services (B2B),Commercial Products
Radiant Systems,RADIANT SYSTEMS INC,64383,RADS,100.0,24-Aug-2011,2011,"1,206.00",,IT Consulting and Outsourcing,NCR Voyix (NYS: VYX),Information Technology,IT Services
Advo,ADVO INC,13025,AD.1,100.0,02-Mar-2007,2007,"1,200.00",,Media and Information Services (B2B),Valassis Communications,Business Products and Services (B2B),Commercial Services
Alderwoods Group,ALDERWOODS GROUP INC,15173,AWGI.2,100.0,28-Nov-2006,2006,"1,200.00",,Other Services (B2C Non-Financial),Service Corporation International (NYS: SCI),Consumer Products and Services (B2C),Services (Non-Financial)
Arch Chemicals,ARCH CHEMICALS INC,117862,ARJ,100.0,20-Oct-2011,2011,"1,200.00",,Specialty Chemicals,Lonza Group (SWX: LONN),Materials and Resources,Chemicals and Gases
Avocent,AVOCENT CORP,64397,AVCT.,100.0,06-Oct-2009,2009,"1,200.00",,"Computers, Parts and Peripherals",Emerson Electric (NYS: EMR) (David Farr),Information Technology,Computer Hardware
Clinical Data,CLINICAL DATA INC,3116,CLDA,100.0,12-Apr-2011,2011,"1,200.00",Public to Private,Drug Discovery,Forest Laboratories,Healthcare,Pharmaceuticals and Biotechnology
Datalogix,DATALOGIC INTERNATIONAL INC,113834,DLGI,88.88888888888889,23-Jan-2015,2015,"1,200.00",,Media and Information Services (B2B),Oracle (NYS: ORCL),Business Products and Services (B2B),Commercial Services
Ditech Financial,DCB FINANCIAL CORP,65214,3DCBF,82.75862068965517,02-Oct-2019,2019,"1,200.00",Corporate Divestiture,Consumer Finance,Rithm Capital (NYS: RITM) (Michael Nierenberg),Financial Services,Other Financial Services
Fusion-io,FUSION-IO INC,186683,FIO,100.0,23-Jul-2014,2014,"1,200.00",,Electronic Equipment and Instruments,SanDisk (NAS: SNDK) (Sanjay Mehrotra),Information Technology,Computer Hardware
Hortonworks,HORTONWORKS INC,22178,HDP,100.0,03-Jan-2019,2019,"1,200.00",,Database Software,Cloudera (Thomas Reilly),Information Technology,Software
Instinet,INSTINET GROUP INC,142463,INGP.,100.0,02-Feb-2007,2007,"1,200.00",,Other Capital Markets/Institutions,Nomura Holdings (TKS: 8604),Financial Services,Capital Markets/Institutions
Kaydon,KAYDON CORP,6357,KDN,100.0,16-Oct-2013,2013,"1,200.00",,Industrial Supplies and Parts,SKF (STO: SKF B) (Tom Johnstone),Business Products and Services (B2B),Commercial Products
Kramont Realty Trust,KRAMONT REALTY TRUST,2886,KRT.2,100.0,18-Apr-2005,2005,"1,200.00",,Real Estate Investment Trusts (REITs),CNPR (Brian Healey),Financial Services,Other Financial Services
Leap Wireless International,LEAP WIRELESS INTL INC,114484,LEAP.5,100.0,12-Jul-2013,2013,"1,200.00",,Telecommunications Service Providers,AT&T (NYS: T),Information Technology,Communications and Networking
Morgan Keegan,MORGAN KEEGAN INC,7564,MOR.2,100.0,02-Apr-2012,2012,"1,200.00",Corporate Divestiture,Brokerage,Raymond James Financial (NYS: RJF) (Paul Reilly),Financial Services,Capital Markets/Institutions
Ocular Sciences,OCULAR SCIENCES INC,65217,OCLR.,100.0,06-Jan-2005,2005,"1,200.00",Corporate Divestiture,Medical Supplies,The Cooper Companies (NAS: COO),Healthcare,Healthcare Devices and Supplies
Officemax,OFFICEMAX INC,2290,OMX,100.0,05-Nov-2013,2013,"1,200.00",,Other Commercial Products,The ODP (Neil Austrian),Business Products and Services (B2B),Commercial Products
SPSS,SPSS INC,28758,SPSS,100.0,02-Oct-2009,2009,"1,200.00",,Business/Productivity Software,International Business Machines (NYS: IBM),Information Technology,Software
Sucampo Pharmaceuticals,SUCAMPO PHARMACEUTICALS INC,175308,SCMP,100.0,01-Feb-2018,2018,"1,200.00",Public to Private,Pharmaceuticals,Mallinckrodt Pharmaceuticals (Mark Trudeau),Healthcare,Pharmaceuticals and Biotechnology
Thomas Properties Group,THOMAS PROPERTIES GROUP,160228,TPGI,100.0,20-Dec-2013,2013,"1,200.00",,Real Estate Services (B2C),Parkway Property Investments (James Heistand),Consumer Products and Services (B2C),Services (Non-Financial)
Metaldyne Performance Group,METALDYNE PERFORMANCE GROUP,21845,MPG.4,100.0,11-Jan-2007,2007,"1,199.99",,Automotive,Asahi Tec,Consumer Products and Services (B2C),Transportation
Remy International,REMY INTERNATIONAL INC,65697,REMY,100.0,10-Nov-2015,2015,"1,187.00",Corporate Divestiture,Industrial Supplies and Parts,BorgWarner (NYS: BWA) (James Verrier),Business Products and Services (B2B),Commercial Products
Matria Healthcare,MATRIA HEALTHCARE INC,21244,MATR.1,100.0,29-Jan-2008,2008,"1,180.00",,Managed Care,"Alere, Inverness Medical Technology",Healthcare,Healthcare Services
Sealy,SEALY CORP,8101,ZZ,100.0,18-Mar-2013,2013,"1,172.90",,Home Furnishings,Somnigroup International (NYS: SGI) (Mark Sarvary),Consumer Products and Services (B2C),Consumer Durables
Active Network,ACTIVE NETWORK INC,160281,ACTV.2,100.0,01-Sep-2017,2017,"1,171.00",,Business/Productivity Software,Global Payments (NYS: GPN) (Jeffrey Sloan),Information Technology,Software
Pearl Therapeutics,PEAR THERAPEUTICS INC,37827,PEARQ,96.55172413793103,27-Jun-2013,2013,"1,159.00",,Drug Discovery,AstraZeneca (LON: AZN) (Pascal Soriot),Healthcare,Pharmaceuticals and Biotechnology
Fox Chase Bank,FOX CHASE BANCORP INC,175646,FXCB,83.87096774193549,01-Jul-2016,2016,"1,153.54",,Regional Banks,Univest Financial (NAS: UVSP) (Jeffrey Schweitzer),Financial Services,Commercial Banks
Cetera Financial Group,CENTRA FINANCIAL HOLDINGS,147948,CFHZ,93.75,29-Apr-2014,2014,"1,150.00",,Asset Management,Aretec,Financial Services,Capital Markets/Institutions
iconectiv,CONECTIV INC,3848,POM2,94.11764705882352,12-Jan-2012,2012,"1,150.00",,Business/Productivity Software,Ericsson (STO: ERIC B) (Per Borgklint),Information Technology,Software
Micromet,MICROMET INC,174160,MITI.,100.0,07-Mar-2012,2012,"1,146.00",,Drug Discovery,Amgen (NAS: AMGN),Healthcare,Pharmaceuticals and Biotechnology
Tahoe Resources,TAHOE RESOURCES INC,185030,TAHO,100.0,22-Feb-2019,2019,"1,142.00",,Precious Metals and Minerals Mining,Pan American Silver (TSE: PAAS) (Michael Steinmann),Materials and Resources,"Metals, Minerals and Mining"
Leap Wireless International,LEAP WIRELESS INTL INC,114484,LEAP.5,100.0,15-Feb-2010,2010,"1,140.00",Corporate Divestiture,Telecommunications Service Providers,Metro by T-Mobile,Information Technology,Communications and Networking
Gold Kist,GOLD KIST INC,5208,2766B,100.0,27-Dec-2006,2006,"1,139.00",,Food Products,Pilgrim's Pride (NAS: PPC),Consumer Products and Services (B2C),Consumer Non-Durables
LDR Holding,LDR HOLDING CORP,18625,LDRH.1,100.0,13-Jul-2016,2016,"1,138.00",,Surgical Devices,Zimmer Biomet (NYS: ZBH) (David Dvorak),Healthcare,Healthcare Devices and Supplies
Semco Energy,SEMCO ENERGY INC,9841,SEN.2,100.0,30-Aug-2012,2012,"1,135.00",Corporate Divestiture,Gas Utilities,AltaGas (TSE: ALA) (David Cornhill),Energy,Utilities
Alliance Holdings GP,ALLIANCE HOLDINGS GP LP,166363,AHGP,88.0,30-Jun-2018,2018,"1,125.00",,Coal Mining,Alliance Resource Partners (NAS: ARLP) (Brian Cantrell),Materials and Resources,"Metals, Minerals and Mining"
MPS Group,MPS GROUP INC,30608,MPS,100.0,20-Jan-2010,2010,"1,124.08",,Human Capital Services,Adecco Group (SWX: ADEN),Business Products and Services (B2B),Commercial Services
Aclara Technologies,ALARUM TECHNOLOGIES LTD,297434,ALAR,89.47368421052632,02-Feb-2018,2018,"1,100.00",,Electronic Equipment and Instruments,Hubbell (Electrical Equipment) (NYS: HUBB) (David Nord),Information Technology,Computer Hardware
Ascential Software,ASCENTIAL SOFTWARE CORP,12587,ASCL,100.0,02-May-2005,2005,"1,100.00",,Systems and Information Management,International Business Machines (NYS: IBM) (Steven Mills),Information Technology,IT Services
BAX Global,BEAM GLOBAL,184345,BEEM,85.71428571428572,01-Jan-2006,2006,"1,100.00",Corporate Divestiture,Logistics,DB Schenker (Hartmut Mehdorn),Business Products and Services (B2B),Commercial Services
Conceptus,CONCEPTUS INC,62236,CPTS,100.0,05-Jun-2013,2013,"1,100.00",,Other Devices and Supplies,Bayer (Conglomerates) (ETR: BAYN) (Marijn Dekkers),Healthcare,Healthcare Devices and Supplies
Connecticut Water Service,CONNECTICUT WATER SVC INC,3394,CTWS,91.30434782608697,09-Oct-2019,2019,"1,100.00",,Water Utilities,H2O America (NAS: HTO) (Eric Thornburg),Energy,Utilities
Constant Contact,CONSTANT CONTACT INC,178493,CTCT,100.0,09-Feb-2016,2016,"1,100.00",Public to Private,Business/Productivity Software,Newfold Digital Holdings Group (Hari Ravichandran),Information Technology,Software
Corindus Vascular Robotics,CORINDUS VASCULAR ROBOTICS,21520,CVRS,100.0,29-Oct-2019,2019,"1,100.00",,Surgical Devices,Siemens Healthineers (ETR: SHL) (Bernd Montag),Healthcare,Healthcare Devices and Supplies
Double Eagle Acquisition,DOUBLE EAGLE ACQUISITION CRP,25772,EAGL.3,92.3076923076923,29-Nov-2017,2017,"1,100.00",,Special Purpose Acquisition Company (SPAC),WillScot Mobile Mini Holdings (NAS: WSC) (Bradley Soultz),Financial Services,Other Financial Services
EarthLink,EARTHLINK HOLDINGS CORP,62391,ELNK,100.0,27-Feb-2017,2017,"1,100.00",Public to Private,Internet Service Providers,Uniti Group ( Arkansas) (Anthony Thomas),Information Technology,Communications and Networking
Endeca Technologies,EDAC TECHNOLOGIES CORP,13630,EDAC,88.88888888888889,01-Dec-2011,2011,"1,100.00",,Vertical Market Software,Oracle (NYS: ORCL),Information Technology,Software
First Charter Bank,FIRST CHARTER CORP,16778,FCTR.1,83.87096774193549,09-Jun-2008,2008,"1,100.00",Corporate Divestiture,Regional Banks,Fifth Third Bancorp (NAS: FITB),Financial Services,Commercial Banks
Giant Industries,GIANT INDUSTRIES INC,19427,GI.2,100.0,31-May-2007,2007,"1,100.00",,Energy Refining,Western Refining,Energy,"Exploration, Production and Refining"
Hyperion Therapeutics,HYPERION THERAPEUTICS INC,171097,HPTX,100.0,07-May-2015,2015,"1,100.00",,Pharmaceuticals,Horizon Therapeutics (Timothy Walbert),Healthcare,Pharmaceuticals and Biotechnology
Ionics,IONICS INC,6171,ION.2,100.0,22-Feb-2005,2005,"1,100.00",,Other Commercial Products,GE Aerospace (NYS: GE) (William Woodburn),Business Products and Services (B2B),Commercial Products
K&F Industries,K&F INDUSTRIES HOLDINGS INC,164533,KFI.1,100.0,22-Jun-2007,2007,"1,100.00",,Aerospace and Defense,Meggitt,Business Products and Services (B2B),Commercial Products
LeTourneau Technologies,LIFESTREAM TECHNOLOGIES INC,29764,LFTC,82.6086956521739,22-Jun-2011,2011,"1,100.00",Corporate Divestiture,Oil and Gas Equipment,Komatsu Mining,Energy,Energy Equipment
Mentor Worldwide,MONSTER WORLDWIDE INC,64156,MWW,84.84848484848484,23-Jan-2009,2009,"1,100.00",,Therapeutic Devices,Johnson & Johnson (NYS: JNJ),Healthcare,Healthcare Devices and Supplies
Omnisource,NISOURCE INC,7974,NI,88.88888888888889,26-Oct-2007,2007,"1,100.00",,Environmental Services (B2B),Steel Dynamics (NAS: STLD) (Keith Busse),Business Products and Services (B2B),Commercial Services
QStar,STAR HOLDINGS,42243,STHO,88.88888888888889,21-Dec-2016,2016,"1,100.00",,Energy Exploration,SM Energy (NYS: SM) (Javan Ottoson),Energy,"Exploration, Production and Refining"
RuleTek,RETEK INC,126599,RETK,83.33333333333334,15-Jun-2017,2017,"1,100.00",,Other Commercial Services,Incessant Technologies (Vijay Madduri),Business Products and Services (B2B),Commercial Services
Sirna Therapeutics,SIRNA THERAPEUTICS INC,62632,RNAI.1,100.0,29-Dec-2006,2006,"1,100.00",,Biotechnology,Merck & Co. (NYS: MRK),Healthcare,Pharmaceuticals and Biotechnology
Sola International Inc.,SOLA INTERNATIONAL INC,29497,SOL.3,100.0,01-Mar-2005,2005,"1,100.00",,Accessories,"EQT (STO: EQT), ZEISS International",Consumer Products and Services (B2C),Apparel and Accessories
Tivo,TIVO CORP,64480,TIVO,100.0,29-Apr-2016,2016,"1,100.00",,Other Media,TiVo (Entertainment Software) (Glenn Welling),Consumer Products and Services (B2C),Media
William Lyon Homes,WILLIAM LYON HOMES,24544,WLH,100.0,06-Feb-2020,2020,"1,100.00",,Construction and Engineering,Taylor Morrison Home (NYS: TMHC) (Sheryl Palmer),Business Products and Services (B2B),Commercial Services
NuCO2,NUCO2 INC,61746,NUCO,100.0,01-Mar-2013,2013,"1,095.00",,Beverages,Praxair (Eduardo Menezes),Consumer Products and Services (B2C),Consumer Non-Durables
Nortek,NORTEK HOLDINGS INC,7935,0131A,100.0,31-Aug-2016,2016,"1,093.10",,Electrical Equipment,Melrose Industries (LON: MRO) (Simon Peckham),Business Products and Services (B2B),Commercial Products
Verint Americas,VIRGIN AMERICA INC,21261,VA,82.75862068965517,25-May-2007,2007,"1,085.00",,Application Software,Verint Systems,Information Technology,Software
Martek Biosciences,MARTEK BIOSCIENCES CORP,29278,MATK,100.0,28-Feb-2011,2011,"1,078.59",,Other Commercial Products,DSM-Firmenich (AMS: DSFIR),Business Products and Services (B2B),Commercial Products
AAT Communications,ATX COMMUNICATIONS INC,113997,COMMQ,94.44444444444444,27-Apr-2006,2006,"1,072.08",,Buildings and Property,SBA Communications (NAS: SBAC) (Jeffrey Stoops),Business Products and Services (B2B),Other Business Products and Services
HeartWare,HEARTWARE INTERNATIONAL INC,271794,HTWR,100.0,23-Aug-2016,2016,"1,072.00",,Therapeutic Devices,Medtronic (NYS: MDT),Healthcare,Healthcare Devices and Supplies
Viasystems Group,VIASYSTEMS INC,114611,VIAS1,100.0,31-May-2015,2015,"1,066.80",,Electrical Equipment,TTM Technologies (NAS: TTMI) (Thomas Edman),Business Products and Services (B2B),Commercial Products
Akarna Therapeutics,KARUNA THERPEUTICS INC,35290,KRTX,90.32258064516128,26-Aug-2016,2016,"1,065.00",,Drug Discovery,Allergan (Brenton Saunders),Healthcare,Pharmaceuticals and Biotechnology
HyClone Laboratories,CORE LABORATORIES INC,61759,CLB,86.48648648648648,24-Mar-2014,2014,"1,060.00",Corporate Divestiture,Biotechnology,GE HealthCare Technologies (NAS: GEHC),Healthcare,Pharmaceuticals and Biotechnology
Xoom,XOOM CORP,17056,XOOM,100.0,12-Nov-2015,2015,"1,060.00",,Financial Software,PayPal Holdings (NAS: PYPL) (Daniel Schulman),Information Technology,Software
Multimedia Games Holding Company,MULTIMEDIA GAMES HOLDING CO,62107,MGAM.1,91.42857142857143,19-Dec-2014,2014,"1,056.15",,Leisure Facilities,Everi Holdings (Ram Chary),Consumer Products and Services (B2C),"Restaurants, Hotels and Leisure"
LNR Property,LNR PROPERTY CORP,65611,LNR.2,100.0,24-Jan-2013,2013,"1,053.00",,Specialized Finance,"Starwood Capital Group, Starwood Property Trust (NYS: STWD) (Barry Sternlicht)",Financial Services,Other Financial Services
Bandag,BANDAG INC,2008,BDG.2,100.0,31-May-2007,2007,"1,050.00",,Automotive,Bridgestone Americas (Mark Emkes),Consumer Products and Services (B2C),Transportation
Cayan,CYAN INC,17692,CYNI,88.88888888888889,11-Jan-2018,2018,"1,050.00",,Vertical Market Software,Total System Services (Troy Woods),Information Technology,Software
United Coal Company,UNITED ROYALE HOLDINGS CORP,29442,URYL,83.33333333333334,29-Apr-2009,2009,"1,040.00",,Coal Mining,Metinvest Holding,Materials and Resources,"Metals, Minerals and Mining"
Quantenna Communications,QUANTENNA COMMUNICATIONS INC,28424,QTNA,100.0,19-Jun-2019,2019,"1,039.30",,Wireless Communications Equipment,ON Semiconductor (NAS: ON) (Keith Jackson),Information Technology,Communications and Networking
Altiris,ALTIRIS INC,147452,ATRS.,100.0,06-Apr-2007,2007,"1,038.24",,Application Specific Semiconductors,Gen Digital (NAS: GEN),Information Technology,Semiconductors
Tornier,TORNIER NV,185058,TRNX.1,82.35294117647058,01-Oct-2015,2015,"1,034.23",,Therapeutic Devices,Wright Medical Group,Healthcare,Healthcare Devices and Supplies
