costat,curcd,datafmt,indfmt,consol,tic,datadate,gvkey,conm,exchg,fyear,ap,at,che,dlc,dltt,lt,rect,wcap,dp,ebitda,ni,oibdp,sale,xsga,capx,csho,prcc_f,sich,company_clean,ma_target,pb_company,deal_date,deal_size,deal_type2,match_score,pb_industry_code,pb_investors,pb_industry_sector,pb_industry_group,total_debt,ebitda_margin,net_margin,leverage,capex_intensity,roa,current_ratio,market_cap,ev_ebitda,asset_turnover,cash_ratio
A,USD,STD,INDL,C,MBCN,2016-12-31,139705,MIDDLEFIELD BANC CORP,14.0,2016,629.934,787.821,32.495,68.732,9.064,710.861,602.542,,1.066,16.701,6.416,16.701,33.953,12.492,2.166,2.254,38.6992,6020.0,MIDDLEFIELD BANC,0,,,,,,6020,,,,77.79599999999999,0.4918858421936206,0.18896710158159807,0.09874831973252807,0.06379406827084498,0.008143981945137284,,87.2279968,5.222920591581342,0.04309735333280022,0.04124667913142706
A,USD,STD,INDL,C,HLFN,2020-06-30,106846,HOME LOAN FINANCIAL CORP,19.0,2020,206.604,244.67,35.642,0.642,4.758,214.027,192.252,,0.143,6.173,3.591,6.173,12.722,3.794,0.1,1.4,29.7,6036.0,HOME LOAN FINANCIAL,0,,,,,,6036,,,,5.4,0.48522244930042446,0.2822669391605094,0.022070543998038178,0.007860399308284862,0.014676911758695387,,41.58,6.73578486959339,0.051996566804266973,0.1456737646626068
A,USD,STD,INDL,C,SNOA,2019-03-31,175424,SONOMA PHARMACEUTICALS INC,14.0,2018,1.255,14.448,3.689,0.463,0.012,3.959,3.481,8.905,0.453,-10.805,-11.798,-10.805,18.97,20.138,0.1,11.847,0.9401,2834.0,SONOMA PHARMACEUTICALS,0,,,,,,2834,,,,0.47500000000000003,-0.5695835529783869,-0.6219293621507644,0.032876522702104095,0.005271481286241435,-0.8165836101882613,2.2493053801465015,11.137364700000001,-1.030760268394262,1.312984496124031,0.2553294573643411
A,USD,STD,INDL,C,TEO,2017-12-31,29194,TELECOM ARGENTINA,11.0,2017,607.049,3084.413,337.535,132.561,429.123,1805.454,491.199,-200.796,371.064,1036.708,408.663,1036.708,3498.486,350.925,574.539,193.832,36.63,4812.0,TELECOM ARGENTINA,0,,,,,,4812,,,,561.684,0.29633046980894023,0.11681138641115044,0.182104017847156,0.16422503905975327,0.1324929573309411,-0.11121634779950085,7100.06616,6.848665352249621,1.1342469377479605,0.10943249169290883
A,USD,STD,INDL,C,CNXN,2012-12-31,66586,PC CONNECTION INC,14.0,2012,126.11,468.323,39.907,0.989,0.0,177.02,267.744,222.987,6.895,62.706,33.071,62.706,2158.873,219.383,9.25,25.887,11.5,5961.0,PC CONNECTION,0,,,,,,5961,,,,0.989,0.029045710423910995,0.015318640790820024,0.0021117903669048924,0.00428464295954417,0.07061579294632124,1.2596712235905547,297.70050000000003,4.7475600421012345,4.609794949212403,0.0852125562912776
A,USD,STD,INDL,C,SIG,2008-01-31,15520,SIGNET JEWELERS LTD,11.0,2007,89.3,3024.2,41.7,36.3,380.0,1218.1,848.2,1816.1,114.1,356.6,215.2,356.6,3665.3,158.0,129.1,170.556,13.85,5944.0,SIGNET JEWELERS,0,,,,,,5944,,,,416.3,0.09729080839221892,0.058712792950099575,0.13765623966668872,0.03522221919078929,0.0711593148601283,1.4909284951974386,2362.2006,6.624230510375771,1.2119899477547782,0.013788770583956089
A,USD,STD,INDL,C,IPAR,2012-12-31,14309,INTERPARFUMS INC,14.0,2012,73.113,759.92,307.335,27.776,0.0,259.939,153.842,366.68,15.554,96.941,131.136,96.941,654.117,325.799,9.474,30.681,19.46,2844.0,INTERPARFUMS,0,,,,,,2844,,,,27.776,0.1482013156667691,0.20047789615619224,0.036551215917465,0.01448364742087425,0.17256553321402254,1.410638649837077,597.05226,6.1589240878472475,0.8607708706179598,0.404430729550479
A,USD,STD,INDL,C,ACLS,2000-12-31,137602,AXCELIS TECHNOLOGIES INC,14.0,2000,46.855,672.331,168.157,0.0,0.0,180.962,150.482,297.348,17.814,122.451,99.115,122.451,680.401,185.393,21.848,97.05,8.875,3559.0,AXCELIS TECHNOLOGIES,0,,,,,,3559,,,,0.0,0.1799688712979552,0.14567144963043852,0.0,0.03211047602810695,0.1474199464251983,1.6431516008885845,861.31875,7.033987064213441,1.0120030163714002,0.25011043667479266
I,USD,STD,INDL,C,VERT,2005-12-31,118228,VERTICALNET INC,14.0,2005,1.908,36.044,4.576,2.638,2.041,13.648,5.188,0.681,2.063,-11.224,-13.72,-11.224,20.65,21.129,0.499,49.504,0.58,7372.0,VERTICALNET,0,,,,,,7372,,,,4.679,-0.5435351089588378,-0.664406779661017,0.12981356120297416,0.024164648910411625,-0.38064587726112536,0.04989742086752638,28.71232,-2.558118317890235,0.5729108866940407,0.1269559427366552
A,USD,STD,INDL,C,PSMT,2006-08-31,65343,PRICESMART INC,14.0,2006,65.52,359.043,47.646,5.575,13.252,121.752,3.599,36.813,9.618,27.748,11.858,27.748,734.673,105.046,32.631,28.966,12.92,5331.0,PRICESMART,0,,,,,,5331,,,,18.827,0.037769184385434064,0.016140514215167837,0.05243661622702574,0.04441567881220625,0.03302668482605148,0.3023605361718904,374.24072,13.487124117053481,2.0461978091760598,0.1327027681921107
A,USD,STD,INDL,C,WIRX,2005-12-31,62613,WIRELESS XCESSORIES GRP INC,19.0,2005,0.863,7.326,2.684,0.0,0.0,1.153,1.733,5.806,0.258,2.4,2.033,2.4,22.059,5.996,0.141,4.482,5.04,5063.0,WIRELESS XCESSORIES GRP,0,,,,,,5063,,,,0.0,0.10879912960696314,0.09216192937123169,0.0,0.006391948864409084,0.27750477750477753,5.035559410234172,22.589280000000002,9.412200000000002,3.0110565110565113,0.3663663663663664
I,USD,STD,INDL,C,CBES,2002-06-30,63672,CBES BANCORP INC,14.0,2002,87.822,112.916,22.718,0.0,9.0,98.744,62.722,,0.215,0.347,-0.598,0.347,9.256,2.764,,0.876,14.45,,CBES BANCORP,0,,,,,,,,,,9.0,0.03748919619706136,-0.0646067415730337,0.07970526763257643,,-0.0052959722271423,,12.658199999999999,36.478962536023054,0.08197243968968083,0.20119380778631904
A,USD,STD,INDL,C,MTDR,2016-12-31,187812,MATADOR RESOURCES CO,11.0,2016,43.264,1464.665,214.142,0.0,573.924,773.22,58.668,109.677,123.23,-53.937,-97.421,-53.937,264.422,55.089,453.912,99.512,25.76,1311.0,MATADOR RESOURCES CO,0,,,,,,1311,,,,573.924,-0.20398075803072357,-0.3684300096058573,0.3918465997344103,1.716619645869103,-0.06651418583771716,0.1418444944517731,2563.4291200000002,-47.52635704618352,0.1805341153096442,0.14620544629659343
A,USD,STD,INDL,C,WYNN,2017-12-31,149318,WYNN RESORTS LTD,14.0,2017,285.437,12681.739,2971.247,62.69,9582.452,11603.389,224.128,1493.494,552.368,1607.933,747.181,1607.933,6306.368,735.042,935.474,103.006,168.59,7990.0,WYNN RESORTS,0,,,,,,7990,,,,9645.142,0.2549697385246151,0.11848039949460609,0.7605535802305977,0.14833799740199113,0.05891786607499177,0.12871187891744387,17365.78154,10.800065388296652,0.49727943462643415,0.23429334100000007
I,USD,STD,INDL,C,CBMC,2000-12-31,63374,CALYPTE BIOMEDICAL CORP,19.0,2000,1.718,5.006,1.203,0.555,0.078,4.201,0.374,-0.875,0.563,-11.854,-12.244,-11.854,3.296,9.822,0.528,25.533,1.046875,2835.0,CALYPTE BIOMEDICAL,0,,,,,,2835,,,,0.633,-3.5964805825242716,-3.7148058252427187,0.1264482620854974,0.16019417475728157,-2.4458649620455453,-0.20828374196619853,26.729859375,-2.254923179939261,0.6584099081102676,0.2403116260487415
A,USD,STD,INDL,C,SYY,2000-06-30,10247,SYSCO CORP,11.0,2000,1186.721,4813.955,159.128,51.067,1023.642,3052.387,1519.038,950.28,220.661,1030.623,445.588,1030.623,19303.268,2843.755,266.413,331.484,42.125,5140.0,SYSCO,0,,,,,,5140,,,,1074.709,0.053391114913806305,0.02308355248448087,0.223248659366363,0.013801445434006304,0.09256172938882894,0.31132356414832063,13963.7635,13.548856856483892,4.0098563447311,0.03305556449946042
A,USD,STD,INDL,C,VISL,2017-12-31,289735,VISLINK TECHNOLOGIES INC,19.0,2017,10.918,36.646,2.799,2.018,0.03,19.019,8.337,7.526,4.429,-16.26,-10.546,-16.26,47.824,34.114,0.374,14.897,1.62,4899.0,VISLINK TECHNOLOGIES,0,,,,,,4899,,,,2.0479999999999996,-0.33999665439946475,-0.22051689528270324,0.05588604486164928,0.0078203412512546,-0.2877803853080827,0.39570955360429044,24.13314,-1.4842029520295201,1.3050264694646072,0.07637941385144353
A,USD,STD,INDL,C,DVA,2001-12-31,61483,DAVITA INC,11.0,2001,74.63,1662.683,36.711,9.034,811.19,1138.324,337.636,175.983,53.182,371.174,137.315,371.174,1650.753,126.9,51.233,84.52,24.45,8090.0,DAVITA,0,,,,,,8090,,,,820.224,0.22485132542542705,0.08318325031061582,0.4933135179706535,0.0310361392649294,0.08258639800851997,0.15459833931288455,2066.5139999999997,5.567507422394887,0.9928248499563657,0.022079374120021675
A,USD,STD,INDL,C,RELV,2010-12-31,27906,RELIV INTERNATIONAL INC,19.0,2010,2.438,24.844,6.331,0.567,4.151,10.913,0.409,6.858,1.245,4.337,1.683,4.337,78.748,59.917,0.619,12.451,1.9399,2834.0,RELIV,0,,,,,,2834,,,,4.718,0.055074414588306995,0.021371971351653373,0.1899050072452101,0.007860517092497587,0.06774271453872162,0.6284248144414918,24.1536949,5.5692171777726545,3.1696989212687168,0.25483014007406213
